index,episode,bit_00,bit_01,bit_02,bit_03,bit_04,bit_05,bit_06,bit_07,bit_08,bit_09,bit_10,bit_11,bit_12,bit_13,bit_14,bit_15,bit_16,bit_17,bit_18,bit_19,bit_20,keff,ppf,fitness
173,174,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1.2694429020711786,1.1236883547850698,56.09721451035589
174,175,0,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1.2736163053384977,1.1331045597342164,48.118081526692485
175,176,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1.26406239940679,1.1204884563815523,68.07031199703395
176,177,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1.2739449525143078,1.1465149526927942,56.119724762571536
177,178,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1.269004922628143,1.1206830120187359,56.095024613140716
178,179,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1.271214879293391,1.102953848259214,56.10607439646696
179,180,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1.266761668070107,1.1333992954048078,56.08380834035054
180,181,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1.268255876282871,1.1575955224891696,52.09127938141435
181,182,0,1,1,0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1.2759565998758229,1.112593219801992,56.12978299937912
182,183,0,1,1,1,0,0,1,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1.274110962157428,1.106949450832786,48.12055481078714
183,184,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1.2657936644302656,1.1287323457249216,64.07896832215133
184,185,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1.2685379992570627,1.119068235485993,56.092689996285316
185,186,0,1,0,0,1,0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,1.2675650693958704,1.1213907613609937,44.08782534697935
186,187,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,1.2719349225905952,1.1102937123021985,52.10967461295298
